"","x","spp","year","season","season_year","lat","lon","response","swept","predtf","svspp","year_orig"
"46",46,"Yellowtail",1,"SPRING","SPRING_1985",41.916667,-67.6,0,0.0384,FALSE,1,1985
"47",47,"Yellowtail",1,"SPRING","SPRING_1985",41.733333,-67.833333,0,0.0384,FALSE,1,1985
"48",48,"Yellowtail",1,"SPRING","SPRING_1985",42.083333,-66.733333,0,0.0384,FALSE,1,1985
"49",49,"Yellowtail",1,"SPRING","SPRING_1985",42.116667,-66.166667,0,0.0384,FALSE,1,1985
"50",50,"Yellowtail",1,"SPRING","SPRING_1985",41.816667,-68.183333,0,0.0384,FALSE,1,1985
"51",51,"Yellowtail",4,"SPRING","SPRING_1986",40.933333,-68.85,2.5,0.0384,FALSE,1,1986
"52",52,"Yellowtail",4,"SPRING","SPRING_1986",40.866667,-68.05,0.7,0.0384,FALSE,1,1986
"53",53,"Yellowtail",4,"SPRING","SPRING_1986",40.983333,-67.5,0.3,0.0384,FALSE,1,1986
"54",54,"Yellowtail",4,"SPRING","SPRING_1986",40.666667,-68.416667,1,0.0384,FALSE,1,1986
"55",55,"Yellowtail",4,"SPRING","SPRING_1986",40.716667,-67.533333,0,0.0384,FALSE,1,1986
"56",56,"Yellowtail",4,"SPRING","SPRING_1986",40.966667,-67.616667,0.2,0.0384,FALSE,1,1986
"57",57,"Yellowtail",4,"SPRING","SPRING_1986",40.783333,-66.866667,0,0.0384,FALSE,1,1986
"58",58,"Yellowtail",4,"SPRING","SPRING_1986",40.816667,-68.816667,1.7,0.0384,FALSE,1,1986
"59",59,"Yellowtail",4,"SPRING","SPRING_1986",40.4,-68.233333,0,0.0384,FALSE,1,1986
"60",60,"Yellowtail",4,"SPRING","SPRING_1986",40.283333,-68.416667,0,0.0384,FALSE,1,1986
"61",61,"Yellowtail",4,"SPRING","SPRING_1986",40.366667,-67.983333,0,0.0384,FALSE,1,1986
"62",62,"Yellowtail",4,"SPRING","SPRING_1986",40.133333,-68.7,0,0.0384,FALSE,1,1986
"63",63,"Yellowtail",4,"SPRING","SPRING_1986",40.35,-67.9,0,0.0384,FALSE,1,1986
"64",64,"Yellowtail",4,"SPRING","SPRING_1986",40.5,-67.133333,0,0.0384,FALSE,1,1986
"65",65,"Yellowtail",4,"SPRING","SPRING_1986",40.166667,-68.35,0,0.0384,FALSE,1,1986
"66",66,"Yellowtail",4,"SPRING","SPRING_1986",41.866667,-66.033333,9,0.0384,FALSE,1,1986
"67",67,"Yellowtail",4,"SPRING","SPRING_1986",41.35,-66.9,2.4,0.0384,FALSE,1,1986
"68",68,"Yellowtail",4,"SPRING","SPRING_1986",41.683333,-66.633333,5.7,0.0384,FALSE,1,1986
"69",69,"Yellowtail",4,"SPRING","SPRING_1986",41.233333,-67.2,0,0.0384,FALSE,1,1986
"70",70,"Yellowtail",4,"SPRING","SPRING_1986",40.95,-66.6,0,0.0384,FALSE,1,1986
"71",71,"Yellowtail",4,"SPRING","SPRING_1986",40.95,-66.966667,0,0.0384,FALSE,1,1986
"72",72,"Yellowtail",4,"SPRING","SPRING_1986",41.516667,-66.216667,2.2,0.0384,FALSE,1,1986
"73",73,"Yellowtail",4,"SPRING","SPRING_1986",42.016667,-67,0,0.0384,FALSE,1,1986
"74",74,"Yellowtail",4,"SPRING","SPRING_1986",41.2,-66.516667,0,0.0384,FALSE,1,1986
"75",75,"Yellowtail",4,"SPRING","SPRING_1986",41.733333,-66.516667,1.9,0.0384,FALSE,1,1986
"76",76,"Yellowtail",4,"SPRING","SPRING_1986",41.066667,-66.466667,0,0.0384,FALSE,1,1986
"77",77,"Yellowtail",4,"SPRING","SPRING_1986",41.783333,-65.733333,0,0.0384,FALSE,1,1986
"78",78,"Yellowtail",4,"SPRING","SPRING_1986",41.8,-65.85,0,0.0384,FALSE,1,1986
"79",79,"Yellowtail",4,"SPRING","SPRING_1986",41.383333,-66.1,0,0.0384,FALSE,1,1986
"80",80,"Yellowtail",4,"SPRING","SPRING_1986",41.033333,-66.4,0,0.0384,FALSE,1,1986
"81",81,"Yellowtail",4,"SPRING","SPRING_1986",41.883333,-65.75,0,0.0384,FALSE,1,1986
"82",82,"Yellowtail",4,"SPRING","SPRING_1986",41.4,-65.966667,0,0.0384,FALSE,1,1986
"83",83,"Yellowtail",4,"SPRING","SPRING_1986",41.616667,-67.45,0,0.0384,FALSE,1,1986
"84",84,"Yellowtail",4,"SPRING","SPRING_1986",40.716667,-68.5,0.9,0.0384,FALSE,1,1986
"85",85,"Yellowtail",4,"SPRING","SPRING_1986",41.433333,-67.766667,0,0.0384,FALSE,1,1986
"86",86,"Yellowtail",4,"SPRING","SPRING_1986",40.95,-68.083333,0.5,0.0384,FALSE,1,1986
"87",87,"Yellowtail",4,"SPRING","SPRING_1986",40.866667,-68.3,0.4,0.0384,FALSE,1,1986
"88",88,"Yellowtail",4,"SPRING","SPRING_1986",41.433333,-67.666667,0,0.0384,FALSE,1,1986
"89",89,"Yellowtail",4,"SPRING","SPRING_1986",41.566667,-67.383333,0,0.0384,FALSE,1,1986
"90",90,"Yellowtail",4,"SPRING","SPRING_1986",41.75,-67.083333,0.2,0.0384,FALSE,1,1986
"91",91,"Yellowtail",4,"SPRING","SPRING_1986",40.983333,-67.8,0.6,0.0384,FALSE,1,1986
"92",92,"Yellowtail",4,"SPRING","SPRING_1986",42.016667,-67.4,0,0.0384,FALSE,1,1986
"93",93,"Yellowtail",4,"SPRING","SPRING_1986",41.383333,-68.116667,0,0.0384,FALSE,1,1986
"94",94,"Yellowtail",4,"SPRING","SPRING_1986",41.25,-68.416667,0,0.0384,FALSE,1,1986
"95",95,"Yellowtail",4,"SPRING","SPRING_1986",41.616667,-68,0,0.0384,FALSE,1,1986
"96",96,"Yellowtail",4,"SPRING","SPRING_1986",41.466667,-68.05,0,0.0384,FALSE,1,1986
"97",97,"Yellowtail",4,"SPRING","SPRING_1986",41.8,-67.816667,0,0.0384,FALSE,1,1986
"98",98,"Yellowtail",4,"SPRING","SPRING_1986",42.066667,-66.816667,1.9,0.0384,FALSE,1,1986
"99",99,"Yellowtail",4,"SPRING","SPRING_1986",42.1,-66.4,0,0.0384,FALSE,1,1986
"100",100,"Yellowtail",4,"SPRING","SPRING_1986",42.05,-67.633333,0.6,0.0384,FALSE,1,1986
"101",101,"Yellowtail",4,"SPRING","SPRING_1986",42.1,-67.383333,0.2,0.0384,FALSE,1,1986
"102",102,"Yellowtail",7,"SPRING","SPRING_1987",40.55,-68.416667,0,0.0384,FALSE,1,1987
"103",103,"Yellowtail",7,"SPRING","SPRING_1987",40.616667,-67.916667,0,0.0384,FALSE,1,1987
"104",104,"Yellowtail",7,"SPRING","SPRING_1987",40.966667,-68.7,1.4,0.0384,FALSE,1,1987
"105",105,"Yellowtail",7,"SPRING","SPRING_1987",40.716667,-68.35,0,0.0384,FALSE,1,1987
"106",106,"Yellowtail",7,"SPRING","SPRING_1987",40.95,-67.433333,0,0.0384,FALSE,1,1987
"107",107,"Yellowtail",7,"SPRING","SPRING_1987",40.533333,-68,0,0.0384,FALSE,1,1987
"108",108,"Yellowtail",7,"SPRING","SPRING_1987",40.9,-67.133333,0,0.0384,FALSE,1,1987
"109",109,"Yellowtail",7,"SPRING","SPRING_1987",40.65,-67.583333,0,0.0384,FALSE,1,1987
"110",110,"Yellowtail",7,"SPRING","SPRING_1987",40.783333,-68.7,1.1,0.0384,FALSE,1,1987
"111",111,"Yellowtail",7,"SPRING","SPRING_1987",40.516667,-67.633333,0,0.0384,FALSE,1,1987
"112",112,"Yellowtail",7,"SPRING","SPRING_1987",40.366667,-68.216667,0,0.0384,FALSE,1,1987
"113",113,"Yellowtail",7,"SPRING","SPRING_1987",40.533333,-67.266667,0,0.0384,FALSE,1,1987
"114",114,"Yellowtail",7,"SPRING","SPRING_1987",40.15,-68.766667,0,0.0384,FALSE,1,1987
"115",115,"Yellowtail",7,"SPRING","SPRING_1987",40.366667,-67.85,0,0.0384,FALSE,1,1987
"116",116,"Yellowtail",7,"SPRING","SPRING_1987",40.433333,-67.366667,0,0.0384,FALSE,1,1987
"117",117,"Yellowtail",7,"SPRING","SPRING_1987",40.116667,-68.666667,0,0.0384,FALSE,1,1987
"118",118,"Yellowtail",7,"SPRING","SPRING_1987",41.283333,-66.466667,0,0.0384,FALSE,1,1987
"119",119,"Yellowtail",7,"SPRING","SPRING_1987",42.016667,-66.35,0,0.0384,FALSE,1,1987
"120",120,"Yellowtail",7,"SPRING","SPRING_1987",41.75,-66.583333,1.5,0.0384,FALSE,1,1987
"121",121,"Yellowtail",7,"SPRING","SPRING_1987",41.3,-66.616667,0,0.0384,FALSE,1,1987
"122",122,"Yellowtail",7,"SPRING","SPRING_1987",42,-66.983333,0,0.0384,FALSE,1,1987
"123",123,"Yellowtail",7,"SPRING","SPRING_1987",41.683333,-65.933333,0,0.0384,FALSE,1,1987
"124",124,"Yellowtail",7,"SPRING","SPRING_1987",41.366667,-66.683333,0.5,0.0384,FALSE,1,1987
"125",125,"Yellowtail",7,"SPRING","SPRING_1987",41.833333,-66.216667,1.8,0.0384,FALSE,1,1987
"126",126,"Yellowtail",7,"SPRING","SPRING_1987",41.633333,-66.983333,3.5,0.0384,FALSE,1,1987
"127",127,"Yellowtail",7,"SPRING","SPRING_1987",41.1,-67.016667,0,0.0384,FALSE,1,1987
"128",128,"Yellowtail",7,"SPRING","SPRING_1987",41.3,-66.266667,0,0.0384,FALSE,1,1987
"129",129,"Yellowtail",7,"SPRING","SPRING_1987",41.566667,-65.95,0,0.0384,FALSE,1,1987
"130",130,"Yellowtail",7,"SPRING","SPRING_1987",41.816667,-65.866667,0,0.0384,FALSE,1,1987
"131",131,"Yellowtail",7,"SPRING","SPRING_1987",40.966667,-66.516667,0,0.0384,FALSE,1,1987
"132",132,"Yellowtail",7,"SPRING","SPRING_1987",41.233333,-66.25,0,0.0384,FALSE,1,1987
"133",133,"Yellowtail",7,"SPRING","SPRING_1987",40.983333,-66.466667,0,0.0384,FALSE,1,1987
"134",134,"Yellowtail",7,"SPRING","SPRING_1987",41.6,-65.916667,0,0.0384,FALSE,1,1987
"135",135,"Yellowtail",7,"SPRING","SPRING_1987",41.15,-68.116667,2.2,0.0384,FALSE,1,1987
"136",136,"Yellowtail",7,"SPRING","SPRING_1987",41.65,-67.316667,0,0.0384,FALSE,1,1987
"137",137,"Yellowtail",7,"SPRING","SPRING_1987",41.083333,-68.283333,0,0.0384,FALSE,1,1987
"138",138,"Yellowtail",7,"SPRING","SPRING_1987",41.766667,-67.233333,0,0.0384,FALSE,1,1987
"139",139,"Yellowtail",7,"SPRING","SPRING_1987",41.016667,-68.416667,0,0.0384,FALSE,1,1987
"140",140,"Yellowtail",7,"SPRING","SPRING_1987",41.266667,-67.45,0.4,0.0384,FALSE,1,1987
"141",141,"Yellowtail",7,"SPRING","SPRING_1987",41.35,-67.2,0,0.0384,FALSE,1,1987
"142",142,"Yellowtail",7,"SPRING","SPRING_1987",41.9,-67.266667,0,0.0384,FALSE,1,1987
"143",143,"Yellowtail",7,"SPRING","SPRING_1987",40.8,-68.333333,0,0.0384,FALSE,1,1987
"144",144,"Yellowtail",7,"SPRING","SPRING_1987",41.733333,-68.166667,0,0.0384,FALSE,1,1987
"145",145,"Yellowtail",7,"SPRING","SPRING_1987",42.016667,-67.133333,0,0.0384,FALSE,1,1987
"146",146,"Yellowtail",7,"SPRING","SPRING_1987",41.9,-67.6,0,0.0384,FALSE,1,1987
"147",147,"Yellowtail",7,"SPRING","SPRING_1987",41.25,-68.366667,0,0.0384,FALSE,1,1987
"148",148,"Yellowtail",7,"SPRING","SPRING_1987",42.066667,-67.416667,0,0.0384,FALSE,1,1987
"149",149,"Yellowtail",7,"SPRING","SPRING_1987",41.666667,-68.35,0,0.0384,FALSE,1,1987
"150",150,"Yellowtail",7,"SPRING","SPRING_1987",41.833333,-68.05,0,0.0384,FALSE,1,1987
"151",151,"Yellowtail",7,"SPRING","SPRING_1987",41.95,-67.866667,0.3,0.0384,FALSE,1,1987
"152",152,"Yellowtail",7,"SPRING","SPRING_1987",42.066667,-66.066667,0,0.0384,FALSE,1,1987
"153",153,"Yellowtail",7,"SPRING","SPRING_1987",41.8,-68.216667,0,0.0384,FALSE,1,1987
"154",154,"Yellowtail",10,"SPRING","SPRING_1988",40.733333,-67.866667,0,0.0384,FALSE,1,1988
"155",155,"Yellowtail",10,"SPRING","SPRING_1988",40.55,-68.25,0,0.0384,FALSE,1,1988
"156",156,"Yellowtail",10,"SPRING","SPRING_1988",41.016667,-67.583333,1.7,0.0384,FALSE,1,1988
"157",157,"Yellowtail",10,"SPRING","SPRING_1988",40.283333,-68.65,0,0.0384,FALSE,1,1988
"158",158,"Yellowtail",10,"SPRING","SPRING_1988",40.65,-68.85,5,0.0384,FALSE,1,1988
"159",159,"Yellowtail",10,"SPRING","SPRING_1988",40.983333,-68.883333,0.6,0.0384,FALSE,1,1988
"160",160,"Yellowtail",10,"SPRING","SPRING_1988",40.9,-67.266667,0,0.0384,FALSE,1,1988
"161",161,"Yellowtail",10,"SPRING","SPRING_1988",40.85,-67.316667,0,0.0384,FALSE,1,1988
"162",162,"Yellowtail",10,"SPRING","SPRING_1988",40.55,-68.15,0,0.0384,FALSE,1,1988
"163",163,"Yellowtail",10,"SPRING","SPRING_1988",40.466667,-67.55,0,0.0384,FALSE,1,1988
"164",164,"Yellowtail",10,"SPRING","SPRING_1988",40.683333,-66.933333,0,0.0384,FALSE,1,1988
"165",165,"Yellowtail",10,"SPRING","SPRING_1988",40.45,-68.083333,0,0.0384,FALSE,1,1988
"166",166,"Yellowtail",10,"SPRING","SPRING_1988",40.266667,-68.25,0,0.0384,FALSE,1,1988
"167",167,"Yellowtail",10,"SPRING","SPRING_1988",41.166667,-67.133333,2,0.0384,FALSE,1,1988
"168",168,"Yellowtail",10,"SPRING","SPRING_1988",41.416667,-66.75,0,0.0384,FALSE,1,1988
"169",169,"Yellowtail",10,"SPRING","SPRING_1988",41.983333,-67,0,0.0384,FALSE,1,1988
"170",170,"Yellowtail",10,"SPRING","SPRING_1988",42,-66.666667,0.3,0.0384,FALSE,1,1988
"171",171,"Yellowtail",10,"SPRING","SPRING_1988",41.916667,-66.966667,2.3,0.0384,FALSE,1,1988
"172",172,"Yellowtail",10,"SPRING","SPRING_1988",41.85,-66.816667,2,0.0384,FALSE,1,1988
"173",173,"Yellowtail",10,"SPRING","SPRING_1988",41.25,-66.716667,0.5,0.0384,FALSE,1,1988
"174",174,"Yellowtail",10,"SPRING","SPRING_1988",41.866667,-66,0,0.0384,FALSE,1,1988
"175",175,"Yellowtail",10,"SPRING","SPRING_1988",41.65,-66.166667,2.4,0.0384,FALSE,1,1988
"176",176,"Yellowtail",10,"SPRING","SPRING_1988",41.5,-66.6,1.6,0.0384,FALSE,1,1988
"177",177,"Yellowtail",10,"SPRING","SPRING_1988",41.266667,-66.283333,0,0.0384,FALSE,1,1988
"178",178,"Yellowtail",10,"SPRING","SPRING_1988",41.133333,-66.45,0,0.0384,FALSE,1,1988
"179",179,"Yellowtail",10,"SPRING","SPRING_1988",41.75,-65.866667,0,0.0384,FALSE,1,1988
"180",180,"Yellowtail",10,"SPRING","SPRING_1988",41.516667,-65.933333,0,0.0384,FALSE,1,1988
"181",181,"Yellowtail",10,"SPRING","SPRING_1988",40.916667,-68.366667,1.3,0.0384,FALSE,1,1988
"182",182,"Yellowtail",10,"SPRING","SPRING_1988",41.583333,-67.233333,0,0.0384,FALSE,1,1988
"183",183,"Yellowtail",10,"SPRING","SPRING_1988",40.733333,-68.45,0.4,0.0384,FALSE,1,1988
"184",184,"Yellowtail",10,"SPRING","SPRING_1988",41.133333,-68.216667,0,0.0384,FALSE,1,1988
"185",185,"Yellowtail",10,"SPRING","SPRING_1988",41.016667,-68.55,0,0.0384,FALSE,1,1988
"186",186,"Yellowtail",10,"SPRING","SPRING_1988",41.333333,-67.183333,0,0.0384,FALSE,1,1988
"187",187,"Yellowtail",10,"SPRING","SPRING_1988",41.3,-67.316667,0,0.0384,FALSE,1,1988
"188",188,"Yellowtail",10,"SPRING","SPRING_1988",41.183333,-67.9,0,0.0384,FALSE,1,1988
"189",189,"Yellowtail",10,"SPRING","SPRING_1988",41.483333,-67.516667,0,0.0384,FALSE,1,1988
"190",190,"Yellowtail",10,"SPRING","SPRING_1988",42.083333,-67.266667,0,0.0384,FALSE,1,1988
"191",191,"Yellowtail",10,"SPRING","SPRING_1988",41.566667,-67.866667,0,0.0384,FALSE,1,1988
"192",192,"Yellowtail",10,"SPRING","SPRING_1988",41.566667,-68.333333,0,0.0384,FALSE,1,1988
"193",193,"Yellowtail",10,"SPRING","SPRING_1988",41.883333,-67.533333,0.3,0.0384,FALSE,1,1988
"194",194,"Yellowtail",10,"SPRING","SPRING_1988",41.583333,-68.216667,0,0.0384,FALSE,1,1988
"195",195,"Yellowtail",10,"SPRING","SPRING_1988",41.8,-67.8,0,0.0384,FALSE,1,1988
"196",196,"Yellowtail",10,"SPRING","SPRING_1988",41.95,-67.883333,0,0.0384,FALSE,1,1988
"197",197,"Yellowtail",10,"SPRING","SPRING_1988",42.116667,-67.05,0,0.0384,FALSE,1,1988
"198",198,"Yellowtail",10,"SPRING","SPRING_1988",42.083333,-66.45,0,0.0384,FALSE,1,1988
"199",199,"Yellowtail",10,"SPRING","SPRING_1988",42.066667,-67.55,3.7,0.0384,FALSE,1,1988
"200",200,"Yellowtail",13,"SPRING","SPRING_1989",40.583333,-68.05,0.34,0.0384,FALSE,1,1989
"201",201,"Yellowtail",13,"SPRING","SPRING_1989",40.716667,-68.166667,0.255,0.0384,FALSE,1,1989
"202",202,"Yellowtail",13,"SPRING","SPRING_1989",40.833333,-68.833333,1.445,0.0384,FALSE,1,1989
"203",203,"Yellowtail",13,"SPRING","SPRING_1989",40.716667,-67.383333,0,0.0384,FALSE,1,1989
"204",204,"Yellowtail",13,"SPRING","SPRING_1989",40.666667,-68.333333,0,0.0384,FALSE,1,1989
"205",205,"Yellowtail",13,"SPRING","SPRING_1989",40.9,-66.983333,0,0.0384,FALSE,1,1989
"206",206,"Yellowtail",13,"SPRING","SPRING_1989",40.983333,-68.816667,2.635,0.0384,FALSE,1,1989
"207",207,"Yellowtail",13,"SPRING","SPRING_1989",40.383333,-68.533333,0,0.0384,FALSE,1,1989
"208",208,"Yellowtail",13,"SPRING","SPRING_1989",40.9,-67.716667,2.125,0.0384,FALSE,1,1989
"209",209,"Yellowtail",13,"SPRING","SPRING_1989",40.716667,-67.016667,0,0.0384,FALSE,1,1989
"210",210,"Yellowtail",13,"SPRING","SPRING_1989",40.533333,-67.666667,0,0.0384,FALSE,1,1989
"211",211,"Yellowtail",13,"SPRING","SPRING_1989",40.333333,-68.016667,0,0.0384,FALSE,1,1989
"212",212,"Yellowtail",13,"SPRING","SPRING_1989",40.383333,-67.733333,0,0.0384,FALSE,1,1989
"213",213,"Yellowtail",13,"SPRING","SPRING_1989",41.966667,-66.683333,4.335,0.0384,FALSE,1,1989
"214",214,"Yellowtail",13,"SPRING","SPRING_1989",41.783333,-65.95,0.255,0.0384,FALSE,1,1989
"215",215,"Yellowtail",13,"SPRING","SPRING_1989",41.616667,-66.633333,1.105,0.0384,FALSE,1,1989
"216",216,"Yellowtail",13,"SPRING","SPRING_1989",41.433333,-66.366667,0,0.0384,FALSE,1,1989
"217",217,"Yellowtail",13,"SPRING","SPRING_1989",42.033333,-66.933333,6.885,0.0384,FALSE,1,1989
"218",218,"Yellowtail",13,"SPRING","SPRING_1989",41.816667,-66.833333,0,0.0384,FALSE,1,1989
"219",219,"Yellowtail",13,"SPRING","SPRING_1989",41.816667,-66.216667,1.7,0.0384,FALSE,1,1989
"220",220,"Yellowtail",13,"SPRING","SPRING_1989",41.883333,-66.466667,2.295,0.0384,FALSE,1,1989
"221",221,"Yellowtail",13,"SPRING","SPRING_1989",41.7,-66.866667,1.36,0.0384,FALSE,1,1989
"222",222,"Yellowtail",13,"SPRING","SPRING_1989",41.116667,-66.7,0.255,0.0384,FALSE,1,1989
"223",223,"Yellowtail",13,"SPRING","SPRING_1989",41.816667,-65.783333,0,0.0384,FALSE,1,1989
"224",224,"Yellowtail",13,"SPRING","SPRING_1989",41.466667,-66,0,0.0384,FALSE,1,1989
"225",225,"Yellowtail",13,"SPRING","SPRING_1989",41.066667,-66.466667,0,0.0384,FALSE,1,1989
"226",226,"Yellowtail",13,"SPRING","SPRING_1989",42.033333,-65.9,0,0.0384,FALSE,1,1989
"227",227,"Yellowtail",13,"SPRING","SPRING_1989",41.816667,-67.233333,0,0.0384,FALSE,1,1989
"228",228,"Yellowtail",13,"SPRING","SPRING_1989",41.583333,-67.716667,0,0.0384,FALSE,1,1989
"229",229,"Yellowtail",13,"SPRING","SPRING_1989",41.383333,-67.366667,0.255,0.0384,FALSE,1,1989
"230",230,"Yellowtail",13,"SPRING","SPRING_1989",40.933333,-68.65,0.255,0.0384,FALSE,1,1989
"231",231,"Yellowtail",13,"SPRING","SPRING_1989",41.283333,-67.833333,0.255,0.0384,FALSE,1,1989
"232",232,"Yellowtail",13,"SPRING","SPRING_1989",40.833333,-68.3,1.275,0.0384,FALSE,1,1989
"233",233,"Yellowtail",13,"SPRING","SPRING_1989",41.466667,-67.183333,0.34,0.0384,FALSE,1,1989
"234",234,"Yellowtail",13,"SPRING","SPRING_1989",41.7,-67.283333,0,0.0384,FALSE,1,1989
"235",235,"Yellowtail",13,"SPRING","SPRING_1989",41.233333,-67.733333,0,0.0384,FALSE,1,1989
"236",236,"Yellowtail",13,"SPRING","SPRING_1989",42,-67.316667,0,0.0384,FALSE,1,1989
"237",237,"Yellowtail",13,"SPRING","SPRING_1989",42.016667,-67.466667,0,0.0384,FALSE,1,1989
"238",238,"Yellowtail",13,"SPRING","SPRING_1989",41.8,-67.95,0.085,0.0384,FALSE,1,1989
"239",239,"Yellowtail",13,"SPRING","SPRING_1989",41.15,-68.5,0,0.0384,FALSE,1,1989
"240",240,"Yellowtail",13,"SPRING","SPRING_1989",41.55,-68.35,0,0.0384,FALSE,1,1989
"241",241,"Yellowtail",13,"SPRING","SPRING_1989",41.966667,-67.666667,0,0.0384,FALSE,1,1989
"242",242,"Yellowtail",13,"SPRING","SPRING_1989",42.1,-66.75,0,0.0384,FALSE,1,1989
"243",243,"Yellowtail",13,"SPRING","SPRING_1989",42.05,-67.566667,0,0.0384,FALSE,1,1989
"244",244,"Yellowtail",13,"SPRING","SPRING_1989",41.883333,-67.933333,0.17,0.0384,FALSE,1,1989
